Fecha;Aceites lubricantes;Asfalto ;Bunker;Ceras;Combustible turbo jet;Diesel bajo azufre;Diesel ultra bajo azufre;Gas licuado de petróleo;Gasolina de aviación;Gasolina regular;Gasolina superior;Grasas lubricantes;Kerosina;Mezclas oleosas;Naftas;Petcoke;Petróleo crudo;Solventes;Butano;Diesel alto azufre;MTBE;Orimulsión;Petróleo reconstituido;Total importación
dic/2016;0.00;3857.00;306550.77;0.00;158719.36;0.00;0.00;584807.19;0.00;473659.59;526573.96;0.00;31039.20;0.00;0.00;160560.68;0.00;0.00;0.00;1303735.78;0.00;0.00;0.00;3549503.52
ene/2017;0.00;3190.00;213661.50;0.00;33917.24;0.00;0.00;567345.82;0.00;527564.90;748233.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;72.29;842993.49;0.00;0.00;0.00;2936978.82
feb/2017;0.00;714.30;72649.78;0.00;152952.20;0.00;0.00;279527.23;21844.81;469140.06;497707.41;0.00;1040.00;0.00;0.00;0.00;0.00;0.00;0.00;844676.98;0.00;0.00;0.00;2340252.77
mar/2017;0.00;3142.90;376955.72;0.00;75312.22;0.00;0.00;780048.59;3505.27;608144.98;734984.24;0.00;0.00;0.00;0.00;388055.94;0.00;0.00;72.29;1351787.92;0.00;0.00;0.00;4322010.07
abr/2017;0.00;1285.71;106518.75;0.00;154934.13;0.00;0.00;530578.14;508.27;681303.11;632843.41;0.00;0.00;0.00;0.00;404822.98;0.00;0.00;72.29;1406022.43;0.00;0.00;0.00;3918889.22
may/2017;0.00;1285.71;160374.50;0.00;105375.23;0.00;0.00;604702.55;3193.64;386088.18;442311.09;0.00;0.00;0.00;0.00;0.00;0.00;0.00;72.29;889926.86;0.00;0.00;0.00;2593330.05
jun/2017;0.00;1428.57;191218.23;0.00;48933.84;0.00;0.00;487244.19;367.94;519389.66;582374.34;0.00;0.00;0.00;0.00;182141.85;0.00;0.00;72.29;902659.00;0.00;0.00;0.00;2915829.91
jul/2017;0.00;1857.14;85356.63;0.00;54997.21;0.00;0.00;510428.14;0.00;433026.08;769214.06;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;994338.30;0.00;0.00;0.00;2849217.56
ago/2017;0.00;3269.86;44448.27;0.00;76542.18;0.00;0.00;538582.14;666.23;592103.31;607368.72;0.00;0.00;0.00;0.00;583079.69;0.00;0.00;144.57;846696.35;0.00;0.00;0.00;3292901.32
sep/2017;0.00;3857.14;218358.99;0.00;125724.44;0.00;0.00;350294.57;0.00;316435.22;401678.98;0.00;0.00;0.00;0.00;0.00;0.00;0.00;72.29;925397.87;0.00;0.00;0.00;2341819.50
oct/2017;0.00;5286.19;219812.14;0.00;132304.57;0.00;0.00;584709.61;6925.95;574073.61;657241.76;0.00;0.00;0.00;0.00;167584.01;0.00;0.00;0.00;740198.57;0.00;0.00;0.00;3088136.41
nov/2017;0.00;10880.53;127575.05;0.00;24435.17;0.00;0.00;935986.51;0.00;434963.36;504247.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;72.29;1135350.10;0.00;0.00;0.00;3173510.32
dic/2017;0.00;3150.02;56960.00;0.00;80037.74;0.00;0.00;595421.43;4729.14;679441.47;803216.88;0.00;0.00;0.00;0.00;155599.02;0.00;0.00;72.29;1305047.55;0.00;0.00;0.00;3683675.54
ene/2018;0.00;5302.14;134033.14;0.00;92894.94;1153831.89;21987.53;396363.05;0.00;571858.06;535784.70;0.00;0.00;0.00;0.00;0.00;0.00;0.00;78.78;0.00;0.00;0.00;0.00;2912134.23
feb/2018;0.00;3721.91;85318.21;0.00;52337.76;921684.12;29946.48;591000.02;0.00;509366.10;629467.91;0.00;0.00;0.00;0.00;407070.30;0.00;0.00;0.37;0.00;0.00;0.00;0.00;3229913.18
mar/2018;0.00;6182.35;84988.82;0.00;23906.14;889227.10;12064.95;644245.40;15747.16;563899.06;529507.15;0.00;0.00;0.00;0.00;418762.45;0.00;0.00;74.03;0.00;0.00;0.00;0.00;3188604.61
abr/2018;0.00;1877.72;219805.45;0.00;70906.87;696962.77;0.00;188590.81;0.00;510830.00;617512.28;0.00;0.00;0.00;0.00;0.00;0.00;0.00;72.29;0.00;0.00;0.00;0.00;2306558.19
may/2018;0.00;4300.00;111460.41;0.00;72992.51;1592580.34;38055.30;636234.13;0.00;580825.11;580329.35;0.00;0.00;0.00;0.00;327075.21;0.00;0.00;6.96;0.00;0.00;0.00;0.00;3943859.32
jun/2018;0.00;6413.00;130426.60;0.00;34249.65;777679.91;0.00;618811.33;21208.26;463620.61;558257.59;0.00;1000.00;0.00;0.00;0.00;0.00;0.00;144.57;0.00;0.00;0.00;0.00;2611811.52
jul/2018;0.00;8518.71;148012.12;0.00;40811.00;793683.41;0.00;584386.15;4005.99;543333.77;784601.77;0.00;0.00;0.00;0.00;385600.49;0.00;0.00;5.84;0.00;0.00;0.00;0.00;3292959.25
ago/2018;0.00;3434.71;214625.41;0.00;81985.47;1281364.78;0.00;408658.63;20437.54;663834.04;541557.34;0.00;0.00;0.00;0.00;0.00;0.00;0.00;74.63;0.00;0.00;0.00;0.00;3215972.55
sep/2018;0.00;4473.29;26753.84;0.00;94980.04;896266.43;0.00;449846.76;18379.30;454442.87;536897.09;0.00;0.00;0.00;0.00;406985.43;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2889025.05
oct/2018;0.00;4285.71;150085.74;0.00;55219.75;992682.04;6049.00;600230.45;2395.30;726044.35;663440.34;0.00;0.00;0.00;0.00;418296.61;0.00;0.00;74.94;0.00;0.00;0.00;0.00;3618804.23
nov/2018;0.00;2584.71;65312.15;0.00;52310.24;899588.34;39035.84;598626.16;0.00;534084.49;509382.86;0.00;0.00;0.00;0.00;244787.00;0.00;0.00;73.85;0.00;0.00;0.00;0.00;2945785.64
dic/2018;0.00;2588.13;84669.38;0.00;87868.41;792198.66;0.00;614887.00;0.00;535639.97;631652.56;0.00;0.00;0.00;0.00;438155.24;0.00;0.00;83.27;0.00;0.00;0.00;0.00;3187742.62
ene/2019;16541.30;3058.43;196719.10;334.00;59152.84;1195728.20;0.00;414086.12;15399.57;702923.37;684504.84;585.91;0.00;475.49;350.92;208276.69;0.00;7282.59;0.41;0.00;0.00;0.00;0.00;3505419.78
feb/2019;21619.99;8794.74;100485.14;307.60;101570.62;1208476.16;0.00;460518.80;1801.96;469437.28;521555.38;545.97;0.00;1911.93;342.55;279583.39;0.00;11978.35;144.57;0.00;0.00;0.00;0.00;3189074.42
mar/2019;17980.15;10715.12;109888.23;426.69;118678.80;1550052.84;0.00;384425.56;0.00;678145.38;704276.53;996.49;0.00;2170.21;0.00;256490.00;0.00;4717.69;80.58;0.00;0.00;0.00;0.00;3839044.27
abr/2019;17450.33;3114.36;280702.33;512.67;76765.06;1215209.05;39866.57;670633.92;14371.63;867761.34;656495.95;477.01;0.00;1944.32;0.00;276252.72;0.00;5112.74;147.59;0.00;0.00;0.00;0.00;4126817.59
may/2019;22195.29;6650.62;103315.20;171.98;59987.32;1011872.87;0.00;623466.22;0.00;596798.22;568128.41;489.43;0.00;2658.48;0.00;485520.18;0.00;6263.91;82.01;0.00;0.00;0.00;0.00;3487600.14
jun/2019;22041.50;4484.73;346048.30;507.79;68548.57;1029100.90;0.00;612732.27;13290.50;712731.80;629788.43;225.87;0.00;0.00;0.00;256057.52;0.00;9967.36;0.00;0.00;0.00;0.00;0.00;3705525.54
jul/2019;20059.59;19590.13;13652.90;202.29;63368.64;1056569.11;0.00;667486.78;0.00;531577.64;516273.85;117.68;0.00;3134.83;0.00;0.00;0.00;9079.17;75.79;0.00;0.00;0.00;0.00;2901188.41
ago/2019;19268.71;9374.15;141908.64;404.40;75962.03;1167556.89;0.00;586430.65;0.00;896841.31;713859.98;176.82;0.00;952.38;0.00;0.00;0.00;3968.23;7.34;0.00;0.00;0.00;0.00;3616711.53
sep/2019;17011.47;5473.85;108983.70;557.90;58060.40;717490.02;7551.05;850778.21;0.00;518043.68;491194.71;348.21;0.00;166.67;340.10;212326.74;0.00;8867.90;79.33;0.00;0.00;0.00;0.00;2997273.94
oct/2019;19109.12;10751.21;95514.49;107.93;43064.61;1160570.85;35005.92;225207.04;0.00;712672.38;691407.73;115.83;0.00;2499.43;0.00;525400.00;0.00;7671.02;1.09;0.00;0.00;0.00;0.00;3529098.65
nov/2019;16108.61;6971.48;84414.64;427.50;56475.66;1122990.69;0.00;610868.12;2070.48;791039.02;658706.42;320.44;0.00;2579.15;0.00;0.00;0.00;13551.90;149.09;0.00;0.00;0.00;0.00;3366673.20
dic/2019;27097.05;5682.60;164276.76;434.83;39148.46;1098972.39;0.00;600003.85;0.00;731012.24;797580.75;313.80;39972.88;2899.75;0.00;245057.00;0.00;7373.88;13.01;0.00;0.00;0.00;0.00;3759839.25
ene/2020;19015.04;4205.43;8484.76;596.33;64745.40;999181.20;34013.75;715600.32;0.00;629414.90;573220.63;721.04;0.00;1647.63;0.00;0.00;0.00;9005.37;148.95;0.00;0.00;0.00;0.00;3060000.75
feb/2020;21047.21;5960.00;158888.73;237.16;71115.46;1237018.37;12300.92;451331.70;23690.30;741509.07;611314.13;177.68;0.00;2607.12;0.00;849463.41;0.00;8881.49;0.00;0.00;0.00;0.00;0.00;4195542.75
mar/2020;22930.96;3351.04;262105.89;920.12;116115.40;1367335.14;1991.32;643278.89;0.00;735491.29;809640.18;590.64;0.00;1267.79;0.00;249651.49;0.00;10977.78;0.00;0.00;0.00;0.00;0.00;4225647.93
abr/2020;21591.95;2443.86;195126.19;756.32;0.00;834366.52;0.00;510349.93;288.62;329134.18;453153.09;363.63;0.00;0.00;0.00;0.00;0.00;6952.78;144.57;0.00;0.00;0.00;0.00;2354671.64
may/2020;16064.15;5300.00;77729.35;396.85;0.00;691066.44;2997.10;616381.45;0.00;415805.82;170292.50;507.39;0.00;0.00;0.00;231418.00;0.00;6147.08;72.29;0.00;0.00;0.00;0.00;2234178.42
jun/2020;15086.16;5451.00;126935.72;280.40;18372.88;1066148.05;48945.91;467664.76;0.00;683322.72;415672.19;364.94;0.00;0.00;259.99;241228.00;0.00;9716.36;0.00;0.00;0.00;0.00;0.00;3099449.08
jul/2020;24023.78;4142.86;95456.23;0.00;29742.42;779930.57;0.00;675337.54;0.00;451717.75;347541.59;311.23;0.00;0.00;247.67;602780.29;0.00;7703.40;72.29;0.00;0.00;0.00;0.00;3019007.62
ago/2020;18020.13;3118.87;60562.44;524.40;46730.75;791258.19;7998.76;634320.07;0.00;547899.55;414416.34;393.75;0.00;0.00;1.14;0.00;0.00;4201.86;72.29;0.00;0.00;0.00;0.00;2529518.54
sep/2020;18803.77;579.76;28529.93;0.00;0.00;1021360.83;0.00;315527.09;2261.75;591799.83;563742.50;329.23;0.00;356.40;0.00;351581.75;0.00;19486.30;72.29;0.00;0.00;0.00;0.00;2914431.43
oct/2020;25940.04;4594.86;170477.00;519.98;22389.55;891340.69;0.00;960840.53;0.00;861840.54;733692.01;369.36;0.00;0.00;0.38;0.00;0.00;6118.08;72.86;0.00;0.00;0.00;0.00;3678195.88
nov/2020;24172.72;2720.06;160324.99;339.00;26211.17;1152909.51;44596.07;328603.13;708.35;696600.14;570262.17;388.25;0.00;933.81;60.00;357873.68;0.00;24501.43;0.00;0.00;0.00;0.00;0.00;3391204.48
dic/2020;24292.17;4862.74;105609.42;287.36;36051.00;1050560.83;0.00;684160.08;176.69;780347.28;777450.55;668.76;0.00;1116.47;7.67;281577.99;0.00;10024.51;144.57;0.00;0.00;0.00;0.00;3757338.09
ene/2021;32297.51;2857.14;74116.04;158.88;34039.29;1185644.96;1499.38;475619.49;0.00;626537.48;642652.37;559.25;0.00;285.71;0.00;360218.54;0.00;13170.43;0.00;0.00;0.00;0.00;0.00;3449656.47
feb/2021;25775.47;2944.55;90475.23;597.30;36199.22;1076824.67;1203.34;617783.16;0.00;715261.34;726508.78;469.36;0.00;1941.72;2.85;0.00;0.00;14072.44;0.00;0.00;0.00;0.00;0.00;3310059.43
mar/2021;39423.46;2766.58;219041.83;329.90;44504.81;1345110.18;13415.05;549815.26;22193.67;772750.01;850334.64;512.05;0.00;1543.65;48.00;232451.50;0.00;3701.67;0.00;0.00;0.00;0.00;0.00;4097942.26
abr/2021;34386.10;2373.03;134271.99;331.40;60378.83;1250171.58;39568.59;664443.94;0.00;634408.89;1227173.53;944.87;0.00;1008.98;0.00;0.00;191.00;18400.35;0.00;0.00;0.00;0.00;0.00;4068053.08
may/2021;46934.14;4002.38;70289.08;907.08;34196.00;1279017.24;0.00;678501.06;0.00;669085.78;649783.14;278.79;0.00;1689.58;3.40;554574.24;0.00;22306.42;0.00;0.00;0.00;0.00;0.00;4011568.33
jun/2021;29240.60;2746.31;222211.83;418.00;72527.45;1440106.47;1489.69;466658.55;0.00;833544.64;623695.20;407.59;0.00;1762.73;1.56;0.00;937.08;4781.62;0.00;0.00;0.00;0.00;0.00;3700529.32
jul/2021;35080.77;3825.70;37527.59;474.40;53322.76;1110409.53;23256.67;665263.10;0.00;833732.31;689717.29;204.15;0.00;1315.27;0.00;274703.81;1801.91;14357.33;0.00;0.00;0.00;0.00;0.00;3744992.59
ago/2021;28578.20;2714.29;105776.21;59.00;47443.21;1175960.64;1888.95;746002.48;3390.96;664522.74;685977.45;236.64;0.00;1237.75;0.00;585160.46;0.00;7124.19;0.00;0.00;0.00;0.00;0.00;4056073.17
sep/2021;25507.27;2285.90;107267.84;243.60;38914.43;896539.24;0.00;689829.47;0.00;844430.03;646233.31;342.49;0.00;1669.70;28.00;215709.34;0.00;1993.73;0.00;0.00;0.00;0.00;0.00;3470994.35
oct/2021;21800.64;5087.46;160474.20;764.35;93077.24;1542473.57;41348.99;696346.90;0.00;522701.11;589405.56;229.98;0.00;2395.35;1.51;259087.00;0.00;5945.58;0.00;0.00;0.00;0.00;0.00;3941139.44
nov/2021;27112.87;5428.57;70030.27;310.23;39207.43;1029780.80;0.00;524186.50;1731.86;692267.31;623392.63;340.01;0.00;887.73;162.26;263869.47;0.00;21329.70;0.00;0.00;0.00;0.00;0.00;3300037.64
dic/2021;25260.10;4503.81;208358.64;279.14;80357.56;1294042.31;0.00;679415.09;0.00;785313.56;640981.15;266.64;0.00;2212.32;1.04;264644.14;0.00;18835.04;0.00;0.00;0.00;0.00;0.00;4004470.54
ene/2022;23369.81;3714.29;88967.71;429.11;45177.60;1438571.28;4000.00;657185.74;24251.44;848902.97;947226.27;6903.32;0.00;2669.51;1.59;579700.89;1014.29;799.03;0.00;0.00;0.00;0.00;0.00;4672884.85
feb/2022;30737.35;5046.42;75860.50;690.84;49143.86;1217495.31;0.00;673218.30;0.00;723925.74;673653.80;1611.78;0.00;1836.51;0.07;524685.89;1005.96;13256.25;0.00;0.00;0.00;0.00;0.00;3992168.58
mar/2022;30889.18;5247.62;166928.38;255.31;101583.78;1246975.12;15098.98;713553.44;1845.88;772406.10;592318.21;9837.36;0.00;3969.56;360.06;882244.12;4115.91;4104.41;0.00;0.00;0.00;0.00;0.00;4551733.41
abr/2022;29981.76;2333.68;307291.31;412.19;56182.73;1284453.73;4034.55;693964.40;0.00;906104.05;493958.32;5125.91;0.00;2433.83;414.41;527111.79;0.00;1454.76;0.00;0.00;0.00;0.00;0.00;4315257.42
may/2022;35466.49;5298.67;73435.94;403.17;62999.86;1306786.77;9040.11;667272.19;0.00;762776.12;663348.94;8044.94;0.00;1417.46;513.83;245972.00;0.00;13787.34;0.00;0.00;0.00;0.00;0.00;3856563.83
jun/2022;34937.44;5571.42;196263.91;395.85;99190.10;1032070.53;24651.72;265773.77;0.00;641348.46;556311.96;1734.67;0.00;2124.98;0.50;527653.40;828.70;6741.23;0.00;0.00;0.00;0.00;0.00;3395598.64
jul/2022;27423.74;5231.10;86469.36;286.00;55357.83;1116548.97;25727.21;717652.72;1301.96;987872.05;611115.01;4282.76;0.00;2724.66;256.92;0.00;1604.92;10938.76;0.00;0.00;0.00;0.00;0.00;3654793.97
ago/2022;28517.52;7714.29;83286.94;25.71;84499.18;1299910.96;0.00;735253.72;13624.43;657942.72;378627.69;3960.93;0.00;2319.45;0.00;872599.58;2090.11;11961.93;0.00;0.00;0.00;0.00;0.00;4182335.16
sep/2022;22099.26;9110.51;155992.58;13.10;41793.59;1077517.90;4983.86;421303.21;529.05;869579.64;551589.72;7431.40;0.00;3425.97;0.00;0.00;2264.37;863.08;0.00;0.00;0.00;0.00;0.00;3168497.23
oct/2022;22298.63;5157.50;57422.20;510.38;95299.93;980527.08;11260.59;717849.25;0.00;718920.20;529832.42;5039.05;0.00;2665.57;1.26;771601.46;1255.96;11141.07;0.00;0.00;0.00;0.00;0.00;3930782.55
nov/2022;22426.83;7548.75;155269.41;0.00;55258.65;1136760.55;9941.91;691237.42;0.00;754135.86;595870.42;9769.41;0.00;2338.28;43.09;684517.29;1431.00;15257.34;0.00;0.00;0.00;0.00;0.00;4141806.21
dic/2022;23211.02;8157.14;223806.31;13.00;60626.66;1082107.64;9888.12;671444.61;2335.55;841323.98;602458.30;8196.94;0.00;2710.39;380.64;275120.84;0.00;1843.78;0.00;0.00;0.00;0.00;0.00;3813624.91
ene/2023;25028.49;11654.23;132458.17;7.86;65808.97;1442099.08;45074.97;497780.69;0.00;909391.13;578792.14;2240.05;0.00;3247.22;6.32;0.00;215.00;4491.66;0.00;0.00;0.00;0.00;0.00;3718295.98
feb/2023;23565.09;16542.56;123451.93;152.00;154166.84;1267967.39;0.00;652984.71;24776.42;725101.20;685183.06;288.59;0.00;2439.59;248.44;870158.29;212.90;21630.09;0.00;0.00;0.00;0.00;0.00;4568869.10
mar/2023;30789.61;13751.26;149590.82;;66515.19;1317519.91;4985.21;711978.35;0.00;803262.67;633849.05;497.50;0.00;4212.34;330.59;249231.00;1474.00;12599.78;0.00;0.00;0.00;0.00;0.00;4000587.28
abr/2023;26953.86;28162.91;134010.55;86.43;123298.87;1417182.73;21503.98;647666.30;1840.46;922032.39;572201.36;386.21;0.00;1713.96;40.00;0.00;1811.06;19941.64;0.00;0.00;0.00;0.00;0.00;3918832.71
may/2023;31785.11;27251.87;234819.33;6.00;94150.63;1428099.62;15047.82;713348.99;0.00;947633.29;668478.73;623.67;0.00;2727.50;260.39;525292.80;621.00;16858.33;0.00;0.00;0.00;0.00;0.00;4707005.08
jun/2023;23463.06;24002.61;328622.59;84.53;71657.93;1278824.18;0.00;285817.78;353.12;831466.44;639685.80;452.32;0.00;2389.65;40.00;260737.00;403.00;6274.03;0.00;0.00;0.00;0.00;0.00;3754274.04
jul/2023;31118.10;18629.80;296415.77;97.67;74719.21;1113086.84;0.00;1077122.75;0.00;830098.86;562498.09;70.83;0.00;3254.81;298.47;614753.75;3015.00;24765.01;0.00;0.00;0.00;0.00;0.00;4649944.96
ago/2023;29629.50;8705.86;172072.23;137.81;81075.68;1075379.76;5059.90;274973.63;0.00;801621.75;669240.21;477.65;0.00;1993.96;390.82;534677.81;0.00;14962.51;0.00;0.00;0.00;0.00;0.00;3670399.08
sep/2023;26932.62;13642.58;67022.82;351.88;99197.26;1242719.42;25049.60;591711.91;2780.09;762592.30;586145.30;425.20;0.00;2602.92;253.04;259958.00;2226.00;7065.47;0.00;0.00;0.00;0.00;0.00;3690676.41
oct/2023;25719.44;7680.11;115876.52;55.00;52257.83;834686.02;5027.17;673581.15;7202.70;928439.18;652149.45;10.14;0.00;2438.05;40.19;395893.00;632.00;15084.52;0.00;0.00;0.00;0.00;0.00;3716772.47
nov/2023;27025.85;11353.21;146036.20;6.86;72479.40;1348739.16;19959.80;578797.45;0.00;839290.02;682060.84;656.66;0.00;2742.53;80.35;505238.39;3715.00;11089.62;0.00;0.00;0.00;0.00;0.00;4249271.34
dic/2023;26971.61;9898.92;325555.62;13.31;104724.64;1509634.28;22953.87;692182.03;2777.45;763754.27;571924.92;202.91;0.00;1600.66;0.12;596212.63;3190.00;21033.99;0.00;0.00;0.00;0.00;0.00;4652631.23
ene/2024;26693.78;7837.29;99680.22;105.62;101415.50;1409097.15;6710.98;701570.80;0.00;914133.32;712333.33;332.39;0.00;2879.59;123.60;264918.62;0.00;15383.87;0.00;0.00;0.00;0.00;0.00;4263216.06
feb/2024;21374.61;5313.11;143951.95;95.09;87352.10;1236861.75;4639.33;916541.70;5978.37;740662.25;650360.11;280.11;0.00;3041.20;80.00;534021.57;2057.00;24524.03;0.00;0.00;0.00;0.00;0.00;4377134.28
mar/2024;27993.04;5633.41;163119.06;0.00;105710.45;1477038.00;5007.48;675157.48;0.00;838270.93;620077.74;320.67;0.00;2205.73;263.28;523701.86;2869.00;3782.28;0.00;0.00;0.00;0.00;0.00;4451150.41
abr/2024;37444.60;7990.99;77253.65;33.52;85752.17;1294706.12;0.00;473940.66;3351.23;886132.77;687017.96;1094.83;0.00;2980.98;40.00;0.00;7802.00;23555.38;0.00;0.00;0.00;0.00;0.00;3589096.86
may/2024;31035.55;10483.78;544682.15;91.83;94606.00;1470870.09;0.00;684864.46;0.00;939656.18;696970.30;212.24;0.00;2678.22;242.22;518800.00;3845.00;14929.21;0.00;0.00;0.00;0.00;0.00;5013967.23
